product_id,product_name,category,price,stock
1,Customer-focused explicit support,Home & Garden,92.99,2209
2,Devolved transitional adapter,Beauty,126.3,2016
3,Focused disintermediate moratorium,Food,222.52,3764
4,Front-line discrete matrices,Health,167.3,1421
5,Right-sized 24/7 migration,Sports,280.9,25
6,Future-proofed homogeneous access,Sports,671.81,3565
7,Reduced tangible encoding,Health,861.16,3167
8,Upgradable intangible synergy,Beauty,214.95,822
9,Triple-buffered leadingedge functionalities,Clothing,409.71,3638
10,User-friendly multimedia service-desk,Beauty,152.07,3149
11,Horizontal foreground system engine,Health,751.18,188
12,Team-oriented modular Internet solution,Automotive,765.52,1680
13,Reduced fault-tolerant artificial intelligence,Beauty,437.77,4292
14,Intuitive neutral installation,Toys,323.43,4088
15,Persistent stable instruction set,Automotive,616.4,3622
16,Multi-channeled bi-directional attitude,Health,207.05,1183
17,Self-enabling attitude-oriented productivity,Clothing,601.74,3093
18,Pre-emptive asynchronous benchmark,Home & Garden,788.48,1696
19,Reactive zero-defect artificial intelligence,Sports,315.57,3318
20,Enhanced zero-defect policy,Books,250.26,2381
21,Profit-focused modular architecture,Sports,380.68,3847
22,Multi-tiered real-time focus group,Electronics,687.11,4614
23,Multi-lateral global hierarchy,Sports,646.18,529
24,Switchable even-keeled monitoring,Beauty,713.63,179
25,Cross-platform client-driven standardization,Food,572.5,2945
26,Horizontal executive encryption,Food,22.44,3574
27,Devolved cohesive concept,Beauty,909.36,732
28,Triple-buffered static solution,Food,256.41,1872
29,Ameliorated tangible product,Books,367.85,2128
30,Streamlined multi-tasking matrix,Beauty,159.77,1795
31,Organized static hardware,Health,645.71,4907
32,Implemented impactful secured line,Automotive,810.51,297
33,Total clear-thinking paradigm,Food,365.83,1872
34,Multi-tiered radical website,Clothing,707.68,1300
35,Extended explicit knowledge user,Clothing,616.21,4528
36,Enhanced background groupware,Electronics,251.88,4302
37,Assimilated multi-tasking flexibility,Books,454.18,2401
38,Digitized bifurcated extranet,Home & Garden,858.77,2281
39,Monitored asynchronous application,Home & Garden,230.62,2552
40,Visionary 5thgeneration policy,Home & Garden,521.46,1899
41,Pre-emptive uniform database,Clothing,621.69,4690
42,Inverse context-sensitive access,Home & Garden,289.66,3852
43,Automated 5thgeneration info-mediaries,Food,895.12,1935
44,Ergonomic dedicated encryption,Electronics,808.1,1600
45,Realigned stable moratorium,Health,713.09,551
46,Phased 24/7 approach,Clothing,270.5,1464
47,Balanced mobile parallelism,Automotive,125.88,3789
48,Versatile actuating artificial intelligence,Automotive,761.33,1465
49,Versatile didactic budgetary management,Home & Garden,534.58,1530
50,Secured next generation hub,Sports,787.32,2666
